# Generated 2025/02/17 15:09:35 by OpenQuake Engine v3.16.0 and OpenQuake Integrated Risk Modelling Toolkit v3.16.3,,,,,,,,,,,,,,,,,,,,,,,
# poe = 0.02000,,,,,,,,,,,,,,,,,,,,,,,
# return_period = 2500,,,,,,,,,,,,,,,,,,,,,,,
lon,lat,mean_PGA,mean_SA(0.01),mean_SA(0.02),mean_SA(0.03),mean_SA(0.05),mean_SA(0.075),mean_SA(0.1),mean_SA(0.15),mean_SA(0.2),mean_SA(0.25),mean_SA(0.3),mean_SA(0.4),mean_SA(0.5),mean_SA(0.75),mean_SA(1.0),mean_SA(1.5),mean_SA(2.0),mean_SA(3.0),mean_SA(4.0),mean_SA(5.0),mean_SA(7.5),mean_SA(10.0)
-115.3564218,32.43369257,1.043813825,1.030774117,1.048814178,1.117154837,1.244804382,1.416027069,1.609418988,1.950484037,2.041699648,2.067608595,2.062461376,1.959152699,1.80858767,1.585950613,1.42272687,1.089247227,0.867947221,0.554869771,0.382860929,0.270593464,0.118192635,0.058348212
-115.3562859,32.46516883,1.049317241,1.036487222,1.054996848,1.124146581,1.253218174,1.415567875,1.608468175,1.939583898,2.038384676,2.064565659,2.061403036,1.965860367,1.818520784,1.596238613,1.431977391,1.09709847,0.874291956,0.557708144,0.384002,0.270894378,0.118099563,0.058226284
-115.3563053,32.46067222,1.063277721,1.050605536,1.069827199,1.13989532,1.269060135,1.426998854,1.620547295,1.953609586,2.04615736,2.07548213,2.074485302,1.992697716,1.849592686,1.630411386,1.464457273,1.12780261,0.897201955,0.575832725,0.394174427,0.278191507,0.12112318,0.059670154
-115.3563247,32.45617561,1.072340965,1.059779286,1.079483032,1.150114894,1.279145837,1.43465066,1.628365397,1.963235617,2.051850796,2.083216429,2.083602905,2,1.870625496,1.654043555,1.487058878,1.149377108,0.91301322,0.586996734,0.401382953,0.283379912,0.123272575,0.060693666
-115.3563442,32.45167901,1.069361448,1.056693673,1.076195359,1.146656513,1.275558949,1.433174968,1.6271348,1.963228703,2.051022053,2.081742287,2.081328154,2,1.862720013,1.644680142,1.477952957,1.140627623,0.906681597,0.582961857,0.3986938,0.281506598,0.122531727,0.060358275
-115.3562082,32.48315526,0.999366701,0.986472666,1.002667785,1.067840219,1.19470489,1.373518467,1.559687853,1.883512497,1.990674138,2.031595469,2.01162982,1.875939727,1.720449686,1.49537909,1.337685823,1.010581255,0.795349002,0.507702827,0.349482715,0.249615416,0.109217003,0.054091971
-115.3562276,32.47865865,1.010627151,0.997670472,1.014370322,1.080558062,1.208185434,1.383081317,1.57135725,1.896858931,2.005300999,2.038150311,2.029296637,1.895657897,1.741244912,1.51597023,1.356772542,1.02776444,0.810841441,0.517505348,0.356243104,0.254433185,0.111233145,0.054917522
-115.356247,32.47416205,1.020002604,1.006989479,1.024116993,1.091150165,1.219395518,1.391240835,1.581188917,1.908176422,2.01772356,2.044113159,2.036680698,1.912067533,1.758614302,1.533234,1.372731328,1.042181611,0.82389766,0.525767446,0.361958742,0.257852316,0.112671688,0.055610564
-115.3562665,32.46966544,1.033940315,1.020987272,1.038760066,1.10683465,1.235582829,1.402920485,1.594547749,1.923566341,2.031270027,2.053441763,2.048003197,1.937248707,1.78623569,1.561789036,1.399472117,1.066753149,0.846338034,0.539986193,0.371787339,0.263692886,0.115106173,0.056788515
-115.3561304,32.5011417,0.950419545,0.938121438,0.952134013,1.012301564,1.134819627,1.333721638,1.507185936,1.822973371,1.925324559,1.963676095,1.933489203,1.790353417,1.632327676,1.409931421,1.240917444,0.940323293,0.732869208,0.468173951,0.322210938,0.229950413,0.101052545,0.050680753
